Location,Price,Bedrooms,Bathrooms,Size
Arroyo Grande,795000,3,3,2371
Paso Robles,399000,4,3,2818
Paso Robles,545000,4,3,3032
Morro Bay,909000,4,4,3540
Santa Maria-Orcutt,109900,3,1,1249
Oceano,324900,3,3,1800
Santa Maria-Orcutt,192900,4,2,1603
Santa Maria-Orcutt,215000,3,2,1450
Morro Bay,999000,4,3,3360
Atascadero,319000,3,2,1323
Santa Maria-Orcutt,350000,3,2,1750
Santa Maria-Orcutt,249000,3,2,1400
Arroyo Grande,299000,2,2,1257
Santa Maria-Orcutt,235900,3,2,1400
Santa Maria-Orcutt,348000,3,2,1600
Paso Robles,314000,4,3,1794
Los Alamos,399000,4,2,1850
San Miguel,599000,3,3,2950
Paso Robles,299000,3,2,1719
San Luis Obispo,425000,3,3,1472
Morro Bay,1100000,4,3,4168
Cayucos,1500000,3,3,3880
Santa Maria-Orcutt,110000,2,1,1000
Santa Maria-Orcutt,200000,3,2,1139
Santa Maria-Orcutt,134900,3,1,1080
Santa Maria-Orcutt,250000,4,3,2000
Pismo Beach,950000,3,4,1920
Santa Maria-Orcutt,239950,4,2,1348
Santa Maria-Orcutt,170000,3,2,1280
Santa Maria-Orcutt,285000,3,2,2400
Santa Maria-Orcutt,279000,3,3,1700
Santa Maria-Orcutt,219000,3,2,1600
Santa Maria-Orcutt,155000,3,2,1050
Atascadero,389000,3,2,1415
Nipomo,340000,3,1,1110
Guadalupe,95000,2,1,797
Santa Maria-Orcutt,140000,2,2,1100
Pismo Beach,1100000,3,3,2602
Santa Maria-Orcutt,360000,4,3,2351
Morro Bay,415000,3,3,1350
Santa Maria-Orcutt,250000,4,2,1206
Santa Maria-Orcutt,559000,3,3,2628
Nipomo,525000,3,3,2365
Los Osos,779000,3,3,2990
Arroyo Grande,595000,3,2,1750
Templeton,1150000,4,5,5500
Templeton,550000,3,2,1852
Grover Beach,500000,3,2,2100
Santa Maria-Orcutt,279000,4,3,2580
Santa Maria-Orcutt,375000,4,2,1963
Santa Maria-Orcutt,330000,3,3,1900
Santa Maria-Orcutt,199000,3,3,1450
Santa Maria-Orcutt,165000,2,2,1000
Templeton,1399000,4,3,6500
Santa Maria-Orcutt,255000,3,2,1218
Cambria,325000,2,2,893
Morro Bay,789000,3,3,2100
Nipomo,498000,4,3,2341
Nipomo,430000,4,2,2168
Paso Robles,539900,4,3,3032
Pismo Beach,499000,3,2,1293
Los Osos,275000,3,2,1200
Santa Maria-Orcutt,499000,3,4,2250
Morro Bay,899000,3,3,2430
Morro Bay,1045000,3,3,2100
Morro Bay,774000,2,2,1550
Santa Maria-Orcutt,239000,3,3,1800
Santa Maria-Orcutt,195000,3,2,1218
Grover Beach,325000,2,1,768
Nipomo,320000,4,2,1929
Santa Maria-Orcutt,275000,4,3,1877
Paso Robles,329000,3,2,1700
Santa Maria-Orcutt,140000,3,2,1080
Paso Robles,409000,4,3,2192
Santa Maria-Orcutt,167900,3,2,1296
Nipomo,325000,7,5,2688
Santa Maria-Orcutt,119000,1,1,900
Santa Maria-Orcutt,245000,4,2,1482
Santa Maria-Orcutt,259900,3,2,1726
Arroyo Grande,495000,3,2,1486
San Luis Obispo,399000,4,2,1543
Santa Maria-Orcutt,329700,4,2,1367
Atascadero,199000,1,1,712
Santa Maria-Orcutt,149000,3,2,1040
Paso Robles,225000,3,2,1456
Santa Maria-Orcutt,195000,2,1,811
Paso Robles,359900,3,3,1951
Templeton,799000,4,4,3100
San Luis Obispo,595000,3,2,2117
Paso Robles,89000,3,2,1560
Santa Maria-Orcutt,129900,3,1,1042
Los Osos,375000,3,3,1519
Atascadero,599000,3,2,2774
Paso Robles,235000,3,2,1340
Santa Maria-Orcutt,255900,3,2,1440
Santa Maria-Orcutt,148900,5,2,1064
Arroyo Grande,749000,3,2,2145
Santa Maria-Orcutt,189900,3,2,1472
Paso Robles,183000,3,1,888
Santa Maria-Orcutt,232600,3,3,1582
Cambria,520000,3,2,1680
Solvang,355000,3,3,1702
Pismo Beach,275000,0,1,398
Santa Maria-Orcutt,225000,4,3,1940
Santa Maria-Orcutt,161900,3,2,1200
Santa Maria-Orcutt,249999,3,3,2013
Santa Maria-Orcutt,208000,2,1,1267
Guadalupe,135000,3,1,1100
San Luis Obispo,385000,2,3,1389
Atascadero,750000,4,4,3387
Atascadero,810000,4,3,3305
Atascadero,890000,4,5,4229
Atascadero,895000,4,3,3676
San Miguel,229900,3,2,1458
Grover Beach,240000,2,2,1020
Atascadero,429000,4,3,2513
Santa Maria-Orcutt,399000,4,3,2800
Santa Maria-Orcutt,385000,3,2,2000
Paso Robles,294900,3,2,1316
Paso Robles,399000,3,2,1220
Santa Maria-Orcutt,269000,3,3,1780
Cambria,449000,3,3,2120
Arroyo Grande,555900,5,3,2947
Paso Robles,319900,4,2,2135
Cambria,332000,4,4,1872
Bradley,499000,4,5,3400
Paso Robles,432000,4,3,3113
Arroyo Grande,199000,2,1,827
Santa Maria-Orcutt,29000,2,2,1500
Atascadero,299000,3,2,1270
Santa Maria-Orcutt,259000,4,3,1857
Los Osos,99000,1,1,538
Avila Beach,779000,2,2,1223
Avila Beach,839000,2,2,1223
Santa Ynez,525000,3,2,1746
Santa Ynez,795000,3,2,2092
Santa Maria-Orcutt,337000,4,2,2000
Oceano,164900,2,1,750
San Luis Obispo,449000,2,3,1650
Guadalupe,94000,2,2,797
Pismo Beach,899000,3,3,2266
Santa Maria-Orcutt,180000,3,2,1280
Bradley,194900,3,2,1092
Los Osos,350000,3,2,1509
King City,167770,3,3,1793
Creston,309900,3,2,1705
Templeton,479000,2,3,2100
Los Alamos,350000,3,2,1582
Grover Beach,350000,3,2,1470
Santa Maria-Orcutt,275000,3,2,1424
Paso Robles,379000,4,3,2277
King City,155900,4,2,3368
San Miguel,229000,3,2,1458
Pismo Beach,604995,2,3,1749
Pismo Beach,599000,3,3,1996
Morro Bay,359000,3,2,1008
Lompoc,199000,4,2,1527
Paso Robles,164900,3,2,1440
Coalinga,179000,3,2,1815
Paso Robles,370000,4,2,2064
Santa Ynez,999000,5,4,2402
Paso Robles,365000,3,3,2136
San Miguel,345000,3,2,1498
Paso Robles,299000,2,1,1068
Pismo Beach,519500,2,1,634
Buellton,645000,4,4,3000
Santa Maria-Orcutt,242500,3,2,1218
Santa Maria-Orcutt,259900,3,3,1300
Santa Maria-Orcutt,310000,4,3,2014
Atascadero,450000,2,2,1463
Santa Maria-Orcutt,220000,2,2,1541
San Luis Obispo,585000,3,2,1268
Santa Maria-Orcutt,324000,5,4,2400
Cambria,375000,1,1,551
Paso Robles,329000,3,2,1420
Paso Robles,599900,5,3,2764
Santa Maria-Orcutt,74900,2,2,1014
Los Osos,285000,3,2,1120
Santa Maria-Orcutt,751900,3,3,3400
Santa Maria-Orcutt,295000,3,2,1386
Coalinga,170000,3,2,1320
Santa Maria-Orcutt,197000,3,2,1376
Oceano,1250000,3,3,2586
Paso Robles,249000,3,2,1662
Nipomo,179000,2,2,1033
Santa Maria-Orcutt,132000,3,1,1050
Lockwood,425000,3,2,1500
Santa Maria-Orcutt,290000,5,3,2500
Los Osos,150000,2,2,896
Los Osos,150000,2,2,896
Los Osos,150000,2,2,896
Los Osos,150000,2,2,896
Los Osos,150000,2,2,896
Los Osos,205000,2,2,1388
Atascadero,599000,4,3,3120
Paso Robles,269000,3,3,1352
Santa Maria-Orcutt,249000,4,3,1963
Santa Maria-Orcutt,235000,3,3,1541
Grover Beach,469000,4,3,2449
Nipomo,159000,4,2,1660
King City,69900,3,1,936
Arroyo Grande,1499000,5,7,6800
Atascadero,239000,3,2,1022
Atascadero,399500,3,2,1665
Paso Robles,299900,3,2,1209
Lompoc,275000,3,2,1700
Morro Bay,395000,4,2,1736
Santa Maria-Orcutt,105000,1,1,731
Santa Maria-Orcutt,179999,3,2,1086
Santa Maria-Orcutt,219000,3,2,1131
Solvang,325000,3,3,1500
Atascadero,829900,4,3,3827
Santa Maria-Orcutt,165000,2,1,1100
Santa Maria-Orcutt,179000,3,2,1398
Paso Robles,279000,3,2,1381
Atascadero,820000,4,4,3387
Paso Robles,399000,2,1,1250
San Miguel,164900,3,1,965
Santa Maria-Orcutt,235000,4,2,1860
Arroyo Grande,1900000,4,5,5411
Nipomo,289000,3,2,1367
Paso Robles,355000,3,2,1640
Santa Maria-Orcutt,199000,3,2,1269
Santa Maria-Orcutt,209000,3,2,1275
Lompoc,186900,3,1,912
Santa Maria-Orcutt,240000,4,2,1460
Nipomo,515000,2,2,2000
Santa Maria-Orcutt,215000,4,2,1750
Santa Maria-Orcutt,399900,4,4,3050
Paso Robles,369000,4,3,2371
Paso Robles,250000,2,2,1292
Paso Robles,259000,3,2,1640
Santa Maria-Orcutt,180000,2,2,1082
Solvang,399900,3,2,1522
Arroyo Grande,385000,3,2,1535
Santa Maria-Orcutt,154000,2,2,1100
San Luis Obispo,254900,2,2,966
Paso Robles,315000,4,2,1653
Santa Maria-Orcutt,437500,3,3,2523
Santa Maria-Orcutt,299900,3,3,2511
Arroyo Grande,399000,3,3,1772
Paso Robles,330000,3,3,1889
Arroyo Grande,279000,2,2,880
Santa Maria-Orcutt,248000,3,2,1400
Santa Maria-Orcutt,209000,3,3,1494
Los Osos,729000,3,2,1844
Atascadero,454500,4,3,1900
Paso Robles,249000,3,2,1176
Nipomo,1700000,3,5,4463
Grover Beach,349000,3,2,1635
Grover Beach,575000,3,3,2095
Santa Maria-Orcutt,185000,3,2,1300
Santa Maria-Orcutt,165000,3,2,1200
Morro Bay,311900,0,1,910
Santa Maria-Orcutt,175000,3,2,1600
Lompoc,180000,4,2,1332
Santa Maria-Orcutt,78000,2,2,1680
Oceano,142900,2,1,1313
Atascadero,850000,4,4,3744
Paso Robles,389000,3,2,1998
Santa Maria-Orcutt,641900,3,3,2714
Templeton,305000,4,2,1797
Paso Robles,260000,3,3,1687
Paso Robles,320000,3,2,1663
Atascadero,199000,2,1,792
Santa Maria-Orcutt,299000,2,2,1410
Buellton,289000,2,2,1085
Santa Maria-Orcutt,229900,3,3,1900
Atascadero,865000,4,3,3305
Atascadero,900000,4,4,3962
Atascadero,199000,2,3,1260
Santa Maria-Orcutt,160000,2,3,1200
Santa Maria-Orcutt,299000,3,3,2400
Oceano,300000,3,3,1265
Santa Maria-Orcutt,270000,4,2,1460
Nipomo,490000,3,3,1894
Santa Maria-Orcutt,295000,3,3,1800
Paso Robles,225000,3,2,1550
Atascadero,324900,2,2,1426
Santa Maria-Orcutt,165000,3,2,1110
Santa Maria-Orcutt,157900,3,2,1075
Nipomo,299000,3,2,1756
Paso Robles,369000,3,3,2150
Santa Maria-Orcutt,233000,4,2,1650
Santa Maria-Orcutt,109900,2,2,1200
Paso Robles,309000,3,2,1488
Pismo Beach,1799000,4,4,3609
Santa Maria-Orcutt,209900,2,2,1113
Solvang,499000,3,2,1600
Arroyo Grande,525000,4,2,1961
Los Osos,650000,3,3,3249
Morro Bay,529000,3,3,1510
Santa Maria-Orcutt,179000,3,2,1300
Lompoc,282000,3,3,1736
Templeton,899000,4,3,3008
Santa Maria-Orcutt,130000,3,2,1850
Santa Maria-Orcutt,205000,3,2,1146
Santa Maria-Orcutt,180900,2,2,1100
Atascadero,409900,4,4,2135
Atascadero,409900,4,4,2135
Grover Beach,469000,3,2,1827
Arroyo Grande,289000,3,1,1005
Santa Maria-Orcutt,99999,2,3,1800
Santa Maria-Orcutt,445000,5,3,3307
Atascadero,640000,3,3,2160
San Miguel,185000,3,2,1062
Santa Maria-Orcutt,210000,4,2,1102
Santa Maria-Orcutt,199900,3,2,1215
Santa Maria-Orcutt,225000,3,2,1600
Paso Robles,369900,4,2,2161
Santa Maria-Orcutt,120000,3,2,1686
Paso Robles,199000,2,1,1000
Arroyo Grande,520000,3,3,2600
Paso Robles,579000,5,3,3150
Santa Maria-Orcutt,300000,4,2,1257
Arroyo Grande,325000,3,2,1171
Santa Maria-Orcutt,225000,3,2,1144
Atascadero,395000,2,1,1160
Santa Maria-Orcutt,399000,4,3,2300
Lompoc,165000,3,2,1144
Arroyo Grande,374900,3,2,1368
Santa Maria-Orcutt,199900,3,2,1238
Arroyo Grande,365000,3,1,1056
Santa Maria-Orcutt,222900,2,2,1086
Los Osos,249900,2,1,720
Paso Robles,290000,3,2,1426
Santa Maria-Orcutt,170500,4,2,1361
Atascadero,560000,3,3,2344
Nipomo,339900,4,2,1925
Nipomo,550000,4,3,2600
San Miguel,269900,4,2,1601
Paso Robles,350000,3,2,1395
Los Osos,214000,2,2,1042
Santa Maria-Orcutt,299900,3,2,1200
Nipomo,139500,2,2,1248
Lompoc,360000,4,3,3000
Paso Robles,315000,3,2,1300
Paso Robles,279900,3,2,1244
Paso Robles,399000,4,2,2139
Atascadero,475000,4,3,2450
Santa Maria-Orcutt,65900,2,2,840
Coalinga,212000,4,3,1878
San Miguel,180000,3,2,1350
Santa Maria-Orcutt,210000,4,2,1377
Buellton,375000,3,3,1475
Atascadero,106900,2,2,894
Paso Robles,221830,3,2,1550
Nipomo,239000,3,2,1106
Atascadero,187500,1,1,594
Los Alamos,445000,5,3,3200
Santa Maria-Orcutt,309000,3,2,1906
Santa Maria-Orcutt,315000,3,2,2004
Santa Maria-Orcutt,191100,3,1,1200
Cambria,699900,5,3,1818
Nipomo,189500,2,2,1040
Santa Maria-Orcutt,199000,4,2,1400
Santa Maria-Orcutt,359000,4,3,2209
Atascadero,264450,3,1,1030
Templeton,459000,3,2,1999
Santa Maria-Orcutt,150000,3,2,1316
Pismo Beach,875000,3,3,2200
Pismo Beach,599000,2,2,1200
Atascadero,250000,3,3,1261
Lompoc,165000,3,2,1120
Santa Maria-Orcutt,229900,4,3,1857
Santa Maria-Orcutt,229900,3,2,1400
Paso Robles,269900,3,2,1139
Santa Maria-Orcutt,245000,5,3,6098
Santa Maria-Orcutt,165000,3,2,1300
Lompoc,429000,3,3,2041
Santa Maria-Orcutt,309900,4,3,2248
Arroyo Grande,265000,2,1,972
Santa Maria-Orcutt,169900,4,2,1500
